blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),low std: Wavelength (nm),low std: Fluorescence 405 nm (rel),med: Wavelength (nm),med: Fluorescence 405 nm (rel),hi: Wavelength (nm),hi: Fluorescence 405 nm (rel),QC: Wavelength (nm),QC: Fluorescence 405 nm (rel),QC2: Wavelength (nm),QC2: Fluorescence 405 nm (rel),QC3: Wavelength (nm),QC3: Fluorescence 405 nm (rel),tonic1: Wavelength (nm),tonic1: Fluorescence 405 nm (rel),tonic2: Wavelength (nm),tonic2: Fluorescence 405 nm (rel),tonic3: Wavelength (nm),tonic3: Fluorescence 405 nm (rel)
418,0.057542443,418,0.058814044,418,0.059235443,418,0.111327855,418,0.184766345,418,0.358046089,418,0.095208356,418,0.092697223,418,0.094272252,418,0.080448817,418,0.079591372,418,0.074412702
418.8,0.054113501,418.8,0.05917339,418.8,0.055108576,418.8,0.108365321,418.8,0.184281786,418.8,0.363791373,418.8,0.095654548,418.8,0.092291142,418.8,0.093866783,418.8,0.08149799,418.8,0.081071256,418.8,0.074682805
419.7,0.051337735,419.7,0.056340719,419.7,0.054636168,419.7,0.105627315,419.7,0.185483012,419.7,0.371933251,419.7,0.097115359,419.7,0.093141895,419.7,0.093918657,419.7,0.08183016,419.7,0.082147324,419.7,0.077141345
420.5,0.048379857,420.5,0.049470062,420.5,0.048407757,420.5,0.102199851,420.5,0.184432444,420.5,0.377514315,420.5,0.096908672,420.5,0.093675783,420.5,0.093749022,420.5,0.08257353,420.5,0.084201883,420.5,0.077992005
421.4,0.045714161,421.4,0.046938643,421.4,0.048386524,421.4,0.099037857,421.4,0.183642843,421.4,0.384400668,421.4,0.097148905,421.4,0.093586315,421.4,0.094502642,421.4,0.082815229,421.4,0.085616897,421.4,0.080197027
422.3,0.04174738,422.3,0.048455351,422.3,0.04899009,422.3,0.095671367,422.3,0.181511068,422.3,0.390180671,422.3,0.096191393,422.3,0.092964512,422.3,0.093874057,422.3,0.082982386,422.3,0.086262738,422.3,0.081397355
423.1,0.037977198,423.1,0.0435307,423.1,0.044135862,423.1,0.091674405,423.1,0.180255222,423.1,0.394976081,423.1,0.094948272,423.1,0.091230329,423.1,0.091236497,423.1,0.082737263,423.1,0.0863184,423.1,0.08160981
424,0.03388478,424,0.042405296,424,0.038827681,424,0.088052573,424,0.179728764,424,0.400849342,424,0.093686071,424,0.090086668,424,0.088791877,424,0.083597701,424,0.086629944,424,0.081856733
424.9,0.031783847,424.9,0.039242837,424.9,0.033530392,424.9,0.083805131,424.9,0.177334603,424.9,0.40479736,424.9,0.09273543,424.9,0.088899097,424.9,0.087614149,424.9,0.08577426,424.9,0.087474504,424.9,0.08254173
425.7,0.02958028,425.7,0.037876498,425.7,0.030204212,425.7,0.0798539,425.7,0.176865065,425.7,0.411425738,425.7,0.091875169,425.7,0.088572333,425.7,0.088267384,425.7,0.087208512,425.7,0.088398194,425.7,0.083995237
426.6,0.027512175,426.6,0.030677238,426.6,0.027574596,426.6,0.075530876,426.6,0.175856752,426.6,0.417698422,426.6,0.090928771,426.6,0.088099504,426.6,0.087979227,426.6,0.087195655,426.6,0.088474491,426.6,0.084466272
427.5,0.025100268,427.5,0.027906223,427.5,0.030461546,427.5,0.072627937,427.5,0.175068238,427.5,0.425985105,427.5,0.088995684,427.5,0.087231472,427.5,0.087139814,427.5,0.086784176,427.5,0.088036439,427.5,0.084376327
428.3,0.022593906,428.3,0.023014668,428.3,0.023312106,428.3,0.069661448,428.3,0.172851327,428.3,0.432936804,428.3,0.087320438,428.3,0.085608223,428.3,0.085588414,428.3,0.085722581,428.3,0.087878128,428.3,0.08479007
429.2,0.020085842,429.2,0.029389134,429.2,0.02065832,429.2,0.067491786,429.2,0.171274078,429.2,0.441035025,429.2,0.085336692,429.2,0.084742312,429.2,0.084603175,429.2,0.086206493,429.2,0.08826445,429.2,0.084691465
430,0.017539197,430,0.018303413,430,0.018564805,430,0.065555771,430,0.172328385,430,0.45009757,430,0.085198133,430,0.084766541,430,0.084499556,430,0.08663362,430,0.088656836,430,0.086179858
430.9,0.015695867,430.9,0.016143355,430.9,0.020787809,430.9,0.06267258,430.9,0.172487535,430.9,0.459334441,430.9,0.084615908,430.9,0.084225968,430.9,0.0846131,430.9,0.088149298,430.9,0.088991511,430.9,0.085979941
431.8,0.014748098,431.8,0.015831222,431.8,0.024142935,431.8,0.061134102,431.8,0.17524549,431.8,0.466714586,431.8,0.085296165,431.8,0.083982364,431.8,0.084988516,431.8,0.089846214,431.8,0.090831424,431.8,0.088324594
432.6,0.013503665,432.6,0.018665966,432.6,0.021308597,432.6,0.057997099,432.6,0.174035844,432.6,0.473524612,432.6,0.084244037,432.6,0.082461888,432.6,0.083562679,432.6,0.090622817,432.6,0.091748429,432.6,0.08860011
433.5,0.012605291,433.5,0.012977174,433.5,0.012930619,433.5,0.057608968,433.5,0.174741741,433.5,0.481922953,433.5,0.084438005,433.5,0.083067126,433.5,0.083445243,433.5,0.092241013,433.5,0.093283489,433.5,0.090130774
434.4,0.011716743,434.4,0.014226057,434.4,0.012419174,434.4,0.055403515,434.4,0.174112678,434.4,0.491740279,434.4,0.083121731,434.4,0.083294861,434.4,0.083723783,434.4,0.092611204,434.4,0.093466157,434.4,0.091424788
