"blank: Wavelength (nm)","blank: Fluorescence 405 nm (rel)","low std: Wavelength (nm)","low std: Fluorescence 405 nm (rel)","med: Wavelength (nm)","med: Fluorescence 405 nm (rel)","hi: Wavelength (nm)","hi: Fluorescence 405 nm (rel)","QC: Wavelength (nm)","QC: Fluorescence 405 nm (rel)","QC2: Wavelength (nm)","QC2: Fluorescence 405 nm (rel)","QC3: Wavelength (nm)","QC3: Fluorescence 405 nm (rel)","tonic1: Wavelength (nm)","tonic1: Fluorescence 405 nm (rel)","tonic2: Wavelength (nm)","tonic2: Fluorescence 405 nm (rel)","tonic3: Wavelength (nm)","tonic3: Fluorescence 405 nm (rel)"
407.6,0.0692545758273,407.6,0.101005166848,407.6,0.145779671085,407.6,0.230781022145,407.6,0.0775609153077,407.6,0.0748799306857,407.6,0.0745246948628,407.6,0.0514340163024,407.6,0.0544593845073,407.6,0.047789764106
408.4,0.0694671222995,408.4,0.103334479461,408.4,0.149360157365,408.4,0.242483464403,408.4,0.0794930062348,408.4,0.0770656570238,408.4,0.0774797334699,408.4,0.0548093325006,408.4,0.0572143630699,408.4,0.0503219726633
409.3,0.0692909588028,409.3,0.10581454277,409.3,0.153773785251,409.3,0.253687320281,409.3,0.0811752426885,409.3,0.0788197844489,409.3,0.0797948400993,409.3,0.0573041457282,409.3,0.0600258734137,409.3,0.0528555254328
410.2,0.0690157803568,410.2,0.107492373986,410.2,0.157567534897,410.2,0.265985578748,410.2,0.0838515233937,410.2,0.0807956928307,410.2,0.0821441660595,410.2,0.0599558270235,410.2,0.0611938306234,410.2,0.0557452935235
411,0.0677253433864,411,0.109936709068,411,0.161973994613,411,0.276444377366,411,0.0873686087041,411,0.0828676140073,411,0.0840514945606,411,0.0618438692447,411,0.0633530085339,411,0.0581367508468
411.9,0.0674314491239,411.9,0.111189208462,411.9,0.165417845399,411.9,0.2880199115,411.9,0.0898597952779,411.9,0.0851124065998,411.9,0.0867922578812,411.9,0.0644453627736,411.9,0.0651451331228,411.9,0.0609222331917
412.8,0.0671179388068,412.8,0.113186382069,412.8,0.168644722177,412.8,0.299110127628,412.8,0.0910069127729,412.8,0.0861591753471,412.8,0.0874146434153,412.8,0.066219357505,412.8,0.067808791802,412.8,0.062737535394
413.6,0.0674143507884,413.6,0.113498472426,413.6,0.172207352609,413.6,0.312041945825,413.6,0.091268718074,413.6,0.0876388178651,413.6,0.0889353763862,413.6,0.0688130435834,413.6,0.0692993077046,413.6,0.0651073409348
414.5,0.0662791563535,414.5,0.114769453795,414.5,0.174893630771,414.5,0.323550910422,414.5,0.092540518295,414.5,0.0888620474391,414.5,0.0894419311922,414.5,0.0703699559525,414.5,0.0711621256067,414.5,0.0662335509581
415.4,0.0642893010021,415.4,0.114583676213,415.4,0.177726757958,415.4,0.333284330176,415.4,0.0939272498514,415.4,0.0904071095756,415.4,0.0913522891185,415.4,0.0731840516186,415.4,0.0733989923185,415.4,0.0683449351915
416.2,0.0628680097456,416.2,0.11488888752,416.2,0.180062390726,416.2,0.342686873631,416.2,0.0949866539356,416.2,0.0922999629508,416.2,0.0925491133727,416.2,0.0757055485956,416.2,0.0754729586805,416.2,0.0704280340454
417.1,0.0605256915579,417.1,0.113203165493,417.1,0.182859858548,417.1,0.349193163011,417.1,0.0947944088793,417.1,0.0926190048471,417.1,0.0933161718951,417.1,0.0784574552302,417.1,0.0784983802724,417.1,0.0717941420585
418,0.0575424432304,418,0.111327854822,418,0.184766345231,418,0.358046088624,418,0.0952083561685,418,0.0926972225536,418,0.0942722520718,418,0.080448816626,418,0.0795913723373,418,0.0744127021709
418.8,0.0541135010059,418.8,0.108365320951,418.8,0.184281786432,418.8,0.363791373164,418.8,0.0956545475983,418.8,0.0922911422183,418.8,0.0938667829401,418.8,0.0814979901879,418.8,0.0810712559765,418.8,0.0746828053593
419.7,0.0513377354503,419.7,0.105627315179,419.7,0.185483012284,419.7,0.371933250758,419.7,0.0971153585904,419.7,0.0931418947234,419.7,0.0939186568527,419.7,0.0818301600147,419.7,0.0821473240824,419.7,0.0771413445133
420.5,0.0483798568058,420.5,0.102199850746,420.5,0.184432444464,420.5,0.377514314655,420.5,0.0969086719763,420.5,0.0936757834324,420.5,0.0937490216579,420.5,0.0825735302858,420.5,0.0842018833893,420.5,0.0779920046674
421.4,0.0457141606651,421.4,0.0990378565097,421.4,0.183642842814,421.4,0.384400668238,421.4,0.0971489052475,421.4,0.0935863148009,421.4,0.0945026419344,421.4,0.082815229129,421.4,0.085616896512,421.4,0.0801970273011
422.3,0.0417473799721,422.3,0.0956713671122,422.3,0.181511067847,422.3,0.390180671297,422.3,0.0961913927283,422.3,0.0929645124903,422.3,0.0938740573775,422.3,0.0829823855995,422.3,0.086262737791,422.3,0.0813973551728
423.1,0.037977198107,423.1,0.0916744048706,423.1,0.180255221968,423.1,0.394976080514,423.1,0.0949482720559,423.1,0.0912303294683,423.1,0.0912364965791,423.1,0.0827372625386,423.1,0.086318399501,423.1,0.081609810466
424,0.0338847801267,424,0.0880525734104,424,0.179728763978,424,0.400849342362,424,0.0936860711246,424,0.090086667827,424,0.0887918772307,424,0.0835977005165,424,0.0866299440482,424,0.0818567326659
424.9,0.0317838474145,424.9,0.0838051306103,424.9,0.177334602587,424.9,0.404797359661,424.9,0.0927354296484,424.9,0.0888990974884,424.9,0.087614149275,424.9,0.0857742602042,424.9,0.0874745036108,424.9,0.0825417297099
425.7,0.0295802798885,425.7,0.0798539000014,425.7,0.176865065134,425.7,0.411425738458,425.7,0.0918751687933,425.7,0.0885723334036,425.7,0.088267384298,425.7,0.0872085115724,425.7,0.0883981943789,425.7,0.0839952371092
